rank,id,Player,Team,Position,Floor,Mean,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank
70,2562722,Miles Sanders,PHI,RB,150,159,183,9.25,3.15,-42.9,1.26,8,72.2,13.1,NA,26
71,2562734,Devin Singletary,BUF,RB,138,158,185,13.3,3.83,-44.2,6.62,8,80.7,13,NA,27
72,2536340,Justin Tucker,BAL,K,147,157,169,8.28,4.47,0,3.25,1,138,3.75,NA,1
73,2558846,Mike Williams,LAC,WR,149,156,173,5.25,2.71,-13.2,0.574,5,61.2,12.2,NA,12
74,2562685,DK Metcalf,SEA,WR,149,156,168,6.61,2.9,-13.8,1.06,5,47,14.8,Q,13
75,2540154,Keenan Allen,LAC,WR,142,155,170,8.47,2.73,-14.9,0.713,5,39.6,25.2,NA,14
76,2564136,Michael Pittman,IND,WR,145,154,168,10.7,3.34,-15.6,0.954,5,50.1,20.5,NA,15
77,2560993,Daniel Carlson,LVR,K,140,154,167,3.33,3.63,-3.25,3.42,1,144,2.38,NA,2
78,2560813,D.J. Moore,CAR,WR,133,153,164,11.1,3.31,-16.5,2.82,5,61.9,17,NA,16
79,2540145,Cordarrelle Patterson,ATL,RB,137,151,173,7.79,3.61,-50.8,3.25,8,88.1,8.76,Q,28
80,2562271,Matt Gay,LAR,K,136,151,160,6.23,4.88,-6.67,0.0458,1,147,2.03,NA,3
81,2558245,Harrison Butker,KC,K,141,151,156,4.03,3.67,-6.71,2.52,1,155,2.81,NA,4
82,2543498,Brandin Cooks,HOU,WR,139,150,163,9.89,3.44,-19.3,0.196,5,73.4,10.9,NA,17
83,2562674,Diontae Johnson,PIT,WR,142,150,160,6.97,2.7,-19.5,3,6,48.2,16.1,NA,18
84,2563986,AJ Dillon,GB,RB,136,148,181,14,3.62,-54.1,1.84,8,67.2,12.2,NA,29
85,2563596,Tyler Bass,BUF,K,129,148,160,9.59,5.54,-9.23,2.25,2,145,2.17,NA,5
86,2563602,Gabriel Davis,BUF,WR,127,147,165,17.8,5.45,-22.5,0.506,6,81.4,8.23,NA,19
87,2562489,Terry McLaurin,WAS,WR,128,147,172,11.6,3.29,-23,0.529,6,57.9,14.7,NA,20
88,2560835,Rashaad Penny,SEA,RB,121,146,208,11.2,3.69,-55.9,1.2,9,80.5,9.46,NA,30
89,2552487,Amari Cooper,CLE,WR,129,146,171,19.3,5.28,-23.6,0.689,6,64.2,14.6,NA,21
90,2561534,Greg Joseph,MIN,K,133,146,154,4.99,6.99,-11.5,0.477,2,183,1.44,NA,6
91,2507225,Nick Folk,NE,K,133,146,151,4.24,5.5,-12,0.323,2,165,1.57,NA,7
92,2564271,Clyde Edwards-Helaire,KC,RB,95.4,145,174,15.6,3.95,-57.1,5.66,9,75.7,12.3,NA,31
93,2552430,Tyler Lockett,SEA,WR,121,145,176,21.8,5.9,-24.3,1.11,6,93.6,6.48,NA,22
94,2506677,Matt Prater,ARI,K,133,145,154,7.99,4.08,-12.3,0.847,2,164,1.64,NA,8
95,2566292,Jaylen Waddle,MIA,WR,126,144,157,9.14,3.14,-25.4,3.36,6,46.4,16.6,NA,23
96,2541556,Brandon McManus,DEN,K,132,144,154,9.5,5.03,-13.1,0.427,2,176,1.68,NA,9
97,2550545,Chris Boswell,PIT,K,135,144,152,6.75,5.05,-13.6,3.78,3,144,1.64,NA,10
